DOB,AGE,INSTAGRAM [SPENT TIME(IN HOURS)],WHATS APP [SPENT TIME(IN HOURS)],LinkedIn [SPENT TIME(IN HOURS)],FACEBOOK [SPENT TIME(IN HOURS)],SNAPCHAT [SPENT TIME(IN HOURS)],TWITTER [SPENT TIME(IN HOURS)],SLEEP DURATION,SCREEN TIME,SEX,SMDY [IN %],LAZY [IN %],DEMOTIVATE [IN %],ANXIETY [IN %],SELF-CONSCIOUS [IN %],LONELINESS [IN %],INSPIRED [IN %],SMISC,SMNDT,RIFF,SMNDTT,SMISCC,RIFFF
16-12-2003,20,4,2,4,1,4,2,7,4,Female,80,80,60,70,70,20,30,0,0,1,No,Negative Impact,Positive Impact
31-05-2005,18,3,3,3,2,3,1,7,4,Male,10,100,95,80,60,80,90,0,0,-1,No,No impact,Negative Impact
27-12-2003,20,3,3,3,3,3,4,8,3,Female,80,60,60,60,80,50,80,1,1,0,Yes,Positive impact,No change
06-10-2004,19,2,2,2,2,2,1,8,3,Female,80,60,80,60,80,70,50,1,0,0,No,Positive impact,No change
12-11-2005,18,2,2,2,2,2,1,7,2,Male,80,70,70,70,80,20,40,0,1,1,Yes,Negative Impact,Positive Impact
19-01-2005,19,3,4,4,4,4,0,5,4,Male,80,60,80,90,30,20,60,1,1,-1,Yes,Positive impact,Negative Impact
16-08-2005,18,4,3,3,3,3,0,7,3,Male,80,100,70,90,90,20,80,1,1,1,Yes,No impact,Positive Impact
16-01-2005,19,2,2,2,2,2,2,7,3,Male,40,60,70,80,90,60,50,1,1,1,Yes,Positive impact,Positive Impact
09-09-2000,23,3,3,3,2,3,2,7,3,Female,80,30,50,60,60,70,60,1,1,-1,Yes,No impact,Negative Impact
04-07-2005,18,2,3,3,0,3,1,7,2,Female,40,60,80,60,70,60,30,1,1,-1,Yes,No impact,Negative Impact
04-07-2002,21,1,3,3,2,3,3,7,3,Female,60,60,60,70,60,50,50,1,1,1,Yes,No impact,Positive Impact
15-02-2005,19,3,3,3,1,3,2,7,3,Male,40,50,95,90,90,70,40,1,1,1,Yes,No impact,Positive Impact
10-10-2005,18,2,2,1,1,2,2,7,4,Male,80,100,95,40,80,20,60,0,0,-1,No,Negative Impact,Negative Impact
03-04-2005,19,3,3,3,2,3,0,8,3,Male,60,80,60,60,60,20,90,0,0,-1,No,No impact,Negative Impact
22-10-2003,20,4,3,1,3,3,2,7,4,Male,10,20,60,20,90,80,40,0,0,1,No,Negative Impact,Positive Impact
27-11-2003,20,2,2,1,2,2,1,7,4,Male,70,70,80,70,30,20,80,0,0,1,No,No impact,Positive Impact
10-10-2005,18,3,2,2,3,3,1,7,4,Male,40,80,95,60,30,70,50,0,0,-1,No,Negative Impact,Negative Impact
10-10-2000,23,1,2,2,3,3,2,7,4,Male,30,20,50,20,70,20,40,0,1,-1,Yes,No impact,Negative Impact
23-10-2002,21,2,3,0,2,2,3,7,2,Male,70,80,60,60,80,70,30,0,1,1,Yes,No impact,Positive Impact
15-08-2004,19,3,3,0,3,3,0,7,3,Male,30,30,30,60,50,20,90,0,1,1,Yes,Positive impact,Positive Impact
19-08-2006,17,3,1,1,1,1,0,7,3,Male,80,80,80,80,90,70,60,0,0,-1,No,No impact,Negative Impact
23-09-2006,17,4,3,3,3,3,0,8,3,Male,30,20,60,60,60,60,90,1,0,-1,No,No impact,Negative Impact
15-01-2002,22,3,3,4,3,3,1,7,4,Female,70,80,50,90,60,60,50,0,1,0,Yes,Negative Impact,No change
08-12-2001,22,2,4,2,4,4,1,7,4,Female,60,50,30,40,30,70,40,0,0,0,No,Negative Impact,No change
04-07-2004,19,4,4,3,4,4,2,7,4,Male,60,20,60,90,60,20,80,1,0,0,No,No impact,No change
05-07-2023,17,2,1,1,3,2,2,7,3,Male,40,60,60,60,50,20,60,1,1,1,Yes,Positive impact,Positive Impact
06-07-2023,22,3,1,4,4,4,1,7,4,Male,10,20,50,60,30,80,30,1,1,-1,Yes,Positive impact,Negative Impact
07-07-2023,21,3,1,2,2,2,0,7,3,Female,80,30,30,60,70,70,80,1,1,-1,Yes,No impact,Negative Impact
08-07-2023,16,4,2,1,2,2,0,8,3,Male,70,50,95,40,60,20,40,0,1,0,Yes,No impact,No change
09-07-2023,18,3,4,3,1,4,0,9,4,Male,70,60,95,90,90,80,60,1,1,1,Yes,Positive impact,Positive Impact
10-07-2023,21,3,3,3,4,3,2,7,4,Female,80,20,50,50,30,20,30,1,1,-1,Yes,Positive impact,Negative Impact
11-07-2023,17,3,3,2,3,3,2,7,4,Female,30,20,30,60,30,70,50,1,1,0,Yes,Positive impact,No change
12-07-2023,16,2,2,2,2,2,1,7,4,Male,70,100,95,50,90,60,40,0,1,1,Yes,No impact,Positive Impact
13-07-2023,21,3,3,3,3,3,4,8,3,Female,80,70,50,70,60,70,60,0,1,-1,Yes,No impact,Negative Impact
14-07-2023,16,2,2,4,2,2,1,7,3,Male,80,80,60,50,80,20,30,0,0,-1,No,No impact,Negative Impact
15-07-2023,22,4,4,2,4,4,1,5,4,Female,70,30,80,70,90,70,80,0,1,0,Yes,Negative Impact,No change
16-07-2023,17,4,4,1,4,4,0,7,4,Male,30,20,30,60,30,80,40,1,1,1,Yes,Positive impact,Positive Impact
17-07-2023,18,4,4,3,4,4,0,8,4,Female,60,70,80,50,80,70,80,1,1,-1,Yes,No impact,Negative Impact
18-07-2023,19,4,4,1,4,4,2,8,4,Female,40,20,70,90,70,50,40,1,1,0,Yes,Positive impact,No change
19-07-2023,16,3,3,1,2,3,2,7,4,Female,80,60,60,70,90,20,80,1,0,1,No,No impact,Positive Impact
20-07-2023,20,2,2,2,2,2,1,7,4,Male,30,20,80,50,70,80,60,1,1,-1,Yes,Positive impact,Negative Impact
21-07-2023,22,2,2,2,1,2,2,7,2,Male,60,20,95,60,30,50,40,1,1,-1,Yes,No impact,Negative Impact
22-07-2023,20,2,2,4,4,2,2,7,4,Male,10,80,50,50,50,70,60,0,0,0,No,Negative Impact,No change
23-07-2023,22,4,4,3,4,4,0,7,4,Male,20,90,95,90,80,80,40,0,0,1,No,No impact,Positive Impact
24-07-2023,26,3,3,2,3,3,2,7,3,Female,30,80,60,40,70,50,90,1,0,-1,No,Positive impact,Negative Impact
25-07-2023,21,4,4,4,4,4,1,7,4,Female,80,30,60,80,80,70,80,0,1,0,Yes,Negative Impact,No change
26-07-2023,21,2,2,2,2,2,1,7,4,Male,80,60,50,60,60,50,50,0,1,1,Yes,Negative Impact,Positive Impact
27-07-2023,21,3,3,3,3,3,2,7,4,Male,20,60,30,60,30,70,40,0,1,-1,Yes,Negative Impact,Negative Impact
28-07-2023,22,3,3,3,3,3,3,8,4,Female,70,90,70,90,90,20,90,0,1,-1,Yes,No impact,Negative Impact
29-07-2023,56,3,3,1,3,3,0,7,4,Male,80,80,50,70,80,80,80,0,1,0,Yes,No impact,No change
30-07-2023,21,2,2,3,2,2,0,7,2,Male,80,90,30,40,50,70,40,1,1,1,Yes,Positive impact,Positive Impact
31-07-2023,22,4,4,1,4,4,0,7,3,Male,20,60,95,70,90,50,80,1,0,-1,No,No impact,Negative Impact
01-08-2023,51,2,2,1,2,2,1,7,2,Female,10,20,50,60,50,70,40,1,1,-1,Yes,Positive impact,Negative Impact
02-08-2023,22,1,1,2,1,1,1,7,1,Female,70,60,50,40,70,50,80,1,0,1,No,No impact,Positive Impact
03-08-2023,28,2,2,2,2,2,2,7,3,Male,60,80,70,90,80,70,50,0,1,1,Yes,No impact,Positive Impact
04-08-2023,25,1,1,1,1,1,2,7,2,Male,20,60,95,90,90,20,80,0,0,-1,No,No impact,Negative Impact
05-08-2023,27,4,4,4,4,4,1,8,4,Male,70,50,95,80,70,20,40,0,1,-1,Yes,No impact,Negative Impact
06-08-2023,26,3,3,3,3,3,0,7,3,Female,80,80,70,90,80,80,80,0,1,1,Yes,Negative Impact,Positive Impact
07-08-2023,50,2,2,2,2,2,0,7,2,Female,70,30,80,70,30,50,50,1,1,1,Yes,Positive impact,Positive Impact
08-08-2023,22,2,2,2,2,2,0,7,2,Female,70,60,95,50,70,70,40,1,1,-1,Yes,Positive impact,Negative Impact
09-08-2023,23,3,3,3,3,3,0,7,4,Female,20,100,95,60,80,20,60,1,0,-1,No,No impact,Negative Impact
10-08-2023,19,2,2,2,2,2,1,7,3,Male,80,50,70,90,50,70,80,0,1,0,Yes,Negative Impact,No change
11-08-2023,21,3,3,3,3,3,1,8,2,Female,60,80,50,80,80,20,50,1,1,0,Yes,Positive impact,No change
12-08-2023,29,2,2,2,2,2,2,7,2,Female,20,60,60,20,50,70,60,0,1,0,Yes,Negative Impact,No change
13-08-2023,20,4,4,4,4,4,2,7,4,Male,40,70,95,60,30,80,80,0,0,1,No,Negative Impact,Positive Impact
14-08-2023,53,3,3,3,3,3,1,5,3,Male,80,80,60,50,60,50,40,0,1,-1,Yes,Negative Impact,Negative Impact
15-08-2023,27,4,4,1,4,4,0,7,2,Male,40,30,95,90,70,70,80,0,0,-1,No,No impact,Negative Impact
16-08-2023,36,4,4,3,4,4,2,7,4,Female,70,80,80,70,80,60,60,1,1,0,Yes,Positive impact,No change
17-08-2023,13,2,2,1,2,2,0,7,2,Female,70,80,95,90,80,70,80,1,1,1,Yes,Positive impact,Positive Impact
18-08-2023,20,3,3,1,3,3,0,5,4,Male,20,90,80,90,70,80,80,1,1,-1,Yes,No impact,Negative Impact
19-08-2023,19,3,3,2,3,3,1,7,4,Female,80,60,70,80,60,20,50,1,1,0,Yes,Positive impact,No change
20-08-2023,20,3,3,2,3,3,3,7,3,Female,70,50,80,70,80,70,80,1,1,1,Yes,Positive impact,Positive Impact
21-08-2023,19,1,1,1,1,1,4,7,3,Male,10,20,95,60,60,20,40,1,1,-1,Yes,No impact,Negative Impact
22-08-2023,23,1,1,1,1,1,2,7,1,Male,70,30,60,60,30,80,90,1,0,-1,No,No impact,Negative Impact
23-08-2023,23,2,2,2,2,2,3,7,3,Female,80,20,50,20,80,50,80,1,0,0,No,No impact,No change
24-08-2023,28,4,4,4,4,4,1,7,4,Male,80,80,95,50,90,60,80,1,1,1,Yes,No impact,Positive Impact
25-08-2023,56,3,3,3,3,3,4,7,2,Female,70,50,70,60,50,60,80,1,1,-1,Yes,Positive impact,Negative Impact
26-08-2023,30,3,3,3,3,3,2,7,3,Male,80,60,60,70,60,60,60,1,1,0,Yes,Positive impact,No change
27-08-2023,22,4,4,4,4,4,2,8,4,Female,80,30,50,40,90,80,40,1,1,1,Yes,Positive impact,Positive Impact
28-08-2023,22,3,3,3,3,3,2,7,4,Female,70,60,60,70,80,60,60,0,0,-1,No,No impact,Negative Impact
29-08-2023,19,1,1,1,1,1,1,7,2,Female,60,80,95,90,60,80,80,0,1,-1,Yes,No impact,Negative Impact
30-08-2023,39,1,1,1,1,1,0,7,2,Male,40,90,60,80,30,60,40,1,1,0,Yes,Positive impact,No change
31-08-2023,39,1,1,1,1,1,2,7,2,Female,60,80,60,60,50,20,90,1,1,1,Yes,Positive impact,Positive Impact
01-09-2023,21,3,3,3,3,3,0,7,3,Male,10,90,50,50,60,50,60,1,1,-1,Yes,Positive impact,Negative Impact
02-09-2023,38,2,2,2,2,2,0,7,2,Male,30,20,50,60,30,20,40,1,1,0,Yes,Positive impact,No change
03-09-2023,19,3,3,3,3,3,1,7,3,Female,40,30,60,60,50,20,60,1,1,1,Yes,Positive impact,Positive Impact
04-09-2023,21,4,4,4,4,4,3,7,4,Female,60,60,50,40,60,60,80,0,0,-1,No,No impact,Negative Impact
05-09-2023,22,3,3,3,3,3,4,7,3,Male,10,90,80,70,50,50,60,0,0,-1,No,No impact,Negative Impact
06-09-2023,18,2,2,2,2,2,2,7,3,Male,70,80,60,90,70,60,80,0,1,0,Yes,Positive impact,No change
07-09-2023,27,4,4,4,4,4,3,7,4,Female,60,80,60,60,50,70,50,0,1,1,Yes,No impact,Positive Impact
08-09-2023,21,2,2,1,2,2,1,7,4,Female,80,30,60,60,50,50,40,1,0,-1,No,Positive impact,Negative Impact
09-09-2023,23,3,3,3,3,3,4,7,4,Female,70,80,50,40,80,80,90,1,1,-1,Yes,Positive impact,Negative Impact
10-09-2023,27,2,2,1,2,2,2,7,3,Male,40,70,50,60,70,70,40,1,1,0,Yes,Positive impact,No change
11-09-2023,18,3,3,1,3,3,2,7,3,Female,70,100,95,90,60,20,40,0,0,0,No,Negative Impact,No change
12-09-2023,18,2,2,2,2,2,2,7,2,Male,80,100,80,50,60,50,90,0,0,-1,No,Negative Impact,Negative Impact
13-09-2023,18,2,2,2,2,2,2,7,2,Female,70,90,70,90,90,50,40,0,0,-1,No,Negative Impact,Negative Impact
14-09-2023,18,3,3,3,3,3,2,7,3,Female,60,60,95,60,80,20,80,1,0,0,No,Positive impact,No change
15-09-2023,24,3,3,3,3,3,1,7,3,Female,80,20,50,80,30,80,40,1,0,0,No,Positive impact,No change
16-09-2023,23,3,3,3,3,3,4,7,4,Female,60,30,50,70,60,50,80,1,1,-1,Yes,No impact,Negative Impact
17-09-2023,22,1,1,1,1,1,1,7,1,Female,70,100,95,60,90,60,80,0,1,-1,Yes,No impact,Negative Impact
18-09-2023,21,4,4,4,4,4,1,7,4,Male,10,80,95,50,80,50,80,0,1,0,Yes,Negative Impact,No change
19-09-2023,25,3,3,3,3,3,0,7,2,Female,70,60,60,60,30,80,40,0,1,1,Yes,Negative Impact,Positive Impact
20-09-2023,23,3,3,3,3,3,0,7,3,Female,80,50,60,70,80,60,80,0,1,-1,Yes,No impact,Negative Impact
21-09-2023,23,3,3,3,3,3,2,7,2,Female,10,60,70,40,70,50,40,0,1,-1,Yes,No impact,Negative Impact
22-09-2023,23,2,2,2,2,2,2,7,3,Female,80,80,60,90,80,20,60,0,0,0,No,Positive impact,No change
23-09-2023,21,2,2,2,2,2,1,7,3,Female,80,70,50,20,70,60,40,0,1,0,Yes,No impact,No change
24-09-2023,25,4,4,4,4,4,2,7,4,Male,30,80,50,60,60,70,60,0,1,-1,Yes,Negative Impact,Negative Impact
25-09-2023,23,4,4,4,4,4,2,7,4,Male,30,20,50,60,30,50,40,1,1,-1,Yes,Positive impact,Negative Impact
26-09-2023,24,2,2,2,2,2,0,7,2,Female,80,80,50,60,70,70,80,1,1,0,Yes,Positive impact,No change
27-09-2023,23,2,2,2,2,2,2,7,3,Female,60,30,60,50,60,70,60,1,0,0,No,No impact,No change
28-09-2023,25,4,4,4,4,4,1,10,4,Female,80,60,50,60,50,20,60,0,1,-1,Yes,Negative Impact,Negative Impact
29-09-2023,51,2,2,2,2,2,1,7,2,Female,30,20,50,60,70,80,90,1,1,0,Yes,Positive impact,No change
30-09-2023,22,1,1,1,1,1,2,7,2,Male,70,90,60,40,80,20,40,1,1,1,Yes,Positive impact,Positive Impact
01-10-2023,32,3,3,3,3,3,3,8,2,Male,60,60,50,60,30,70,60,1,1,-1,Yes,No impact,Negative Impact
02-10-2023,24,4,4,4,4,4,2,5,3,Female,60,20,50,20,70,20,60,1,1,0,Yes,Positive impact,No change
03-10-2023,24,2,2,2,2,2,1,7,2,Female,60,90,70,60,60,50,80,0,1,1,Yes,No impact,Positive Impact
04-10-2023,24,2,2,2,2,2,1,7,2,Male,60,80,80,80,70,70,80,0,0,-1,No,Negative Impact,Negative Impact
05-10-2023,23,4,4,4,4,4,3,7,4,Female,80,30,50,60,30,80,60,0,0,-1,No,Negative Impact,Negative Impact
06-10-2023,16,3,3,3,3,3,3,7,3,Female,70,80,95,90,60,70,80,1,1,0,Yes,Positive impact,No change
07-10-2023,18,2,2,2,2,2,2,8,2,Male,80,20,60,70,80,20,80,1,1,1,Yes,Positive impact,Positive Impact
08-10-2023,48,4,4,4,4,4,2,7,2,Male,10,70,30,50,50,70,60,1,1,-1,Yes,Positive impact,Negative Impact
09-10-2023,25,3,3,3,3,3,3,7,2,Male,60,80,50,60,90,20,80,1,1,-1,Yes,No impact,Negative Impact
10-10-2023,21,3,3,3,3,3,4,5,4,Male,40,60,50,40,60,60,80,1,1,0,Yes,Positive impact,No change
11-10-2023,17,2,2,2,2,2,2,8,4,Female,80,30,80,70,80,60,80,0,1,0,Yes,Negative Impact,No change
12-10-2023,16,3,3,3,3,3,2,7,3,Male,80,60,70,90,50,70,60,0,1,-1,Yes,Negative Impact,Negative Impact
13-10-2023,18,3,3,3,3,3,2,8,3,Male,40,60,30,60,70,70,60,1,1,-1,Yes,Positive impact,Negative Impact
14-10-2023,22,3,3,3,3,3,2,7,3,Female,60,70,50,50,50,60,80,1,0,0,No,Positive impact,No change
15-10-2023,24,3,3,3,3,3,1,7,4,Female,80,20,30,60,50,70,60,0,1,0,Yes,Negative Impact,No change
16-10-2023,20,4,4,4,4,4,0,7,4,Female,80,90,50,40,30,20,40,0,1,-1,Yes,No impact,Negative Impact
17-10-2023,19,1,1,1,1,1,2,7,2,Female,30,80,50,60,70,60,60,1,1,-1,Yes,No impact,Negative Impact
18-10-2023,23,3,3,3,3,3,0,10,4,Female,10,80,30,50,60,70,40,1,1,0,Yes,Positive impact,No change
19-10-2023,19,2,2,2,2,2,0,7,4,Male,30,50,50,70,80,20,90,1,1,1,Yes,Positive impact,Positive Impact
20-10-2023,21,2,2,2,2,2,1,7,3,Male,80,20,95,50,60,60,40,0,1,-1,Yes,No impact,Negative Impact
21-10-2023,22,2,2,2,2,2,3,7,1,Male,10,80,80,60,50,70,90,1,1,-1,Yes,Positive impact,Negative Impact
22-10-2023,18,2,2,2,2,2,4,7,2,Male,40,30,30,70,30,60,60,1,0,0,No,Positive impact,No change
23-10-2023,17,1,1,1,1,1,2,5,2,Male,30,80,60,20,70,70,60,1,1,0,Yes,Positive impact,No change
24-10-2023,20,1,1,1,1,1,3,10,4,Male,80,70,70,90,80,20,40,0,1,-1,Yes,Negative Impact,Negative Impact
25-10-2023,20,3,3,3,3,3,1,7,3,Female,80,20,30,50,50,80,80,0,1,-1,Yes,Negative Impact,Negative Impact
26-10-2023,20,3,3,3,3,3,4,8,4,Male,30,20,50,20,30,70,60,1,1,0,Yes,Positive impact,No change
27-10-2023,20,2,2,2,2,2,2,7,3,Male,40,100,95,70,60,70,80,1,1,0,Yes,No impact,No change
28-10-2023,21,2,2,2,2,2,1,7,2,Male,80,60,60,40,60,60,60,1,0,-1,No,No impact,Negative Impact
29-10-2023,20,3,3,3,3,3,3,7,4,Male,80,90,95,90,60,70,60,1,1,-1,Yes,Positive impact,Negative Impact
30-10-2023,21,4,4,4,4,4,3,5,4,Male,80,80,30,60,50,70,40,1,1,0,Yes,Positive impact,No change
31-10-2023,19,2,2,2,2,2,2,7,4,Male,30,20,50,60,50,60,40,1,1,0,Yes,Positive impact,No change
01-11-2023,26,2,2,2,2,2,2,7,2,Male,80,90,30,80,70,70,90,0,1,-1,Yes,No impact,Negative Impact
02-11-2023,19,2,2,2,2,2,3,7,4,Male,80,20,50,20,30,70,40,0,1,-1,Yes,No impact,Negative Impact
03-11-2023,21,2,2,2,2,2,4,7,3,Male,60,80,60,60,50,20,40,1,1,0,Yes,Positive impact,No change
04-11-2023,23,2,2,2,2,2,2,7,3,Male,70,100,80,60,60,60,90,1,1,0,Yes,Positive impact,No change
05-11-2023,21,2,2,2,2,2,2,5,2,Male,70,50,95,80,70,70,80,0,1,0,Yes,No impact,No change
06-11-2023,22,3,3,3,3,3,2,7,3,Male,40,30,95,80,90,80,40,1,1,-1,Yes,Positive impact,Negative Impact
07-11-2023,45,4,4,4,4,4,2,8,3,Female,80,80,50,70,60,20,80,0,1,-1,Yes,No impact,Negative Impact
08-11-2023,23,3,3,3,3,3,2,7,4,Female,60,50,80,80,80,20,80,1,1,0,Yes,Positive impact,No change
09-11-2023,16,2,2,2,2,2,2,7,4,Male,60,60,60,70,30,20,80,1,1,0,Yes,Positive impact,No change
10-11-2023,21,2,2,2,2,2,3,7,2,Male,80,20,30,20,30,20,60,1,1,-1,Yes,Positive impact,Negative Impact
11-11-2023,14,2,2,2,2,2,4,7,3,Male,60,60,95,60,80,20,40,1,0,-1,No,Positive impact,Negative Impact
12-11-2023,20,1,1,1,1,1,3,7,3,Male,70,50,80,90,60,80,60,1,1,0,Yes,Positive impact,No change
13-11-2023,21,4,4,4,4,4,2,7,4,Male,80,100,50,70,70,20,60,0,1,0,Yes,No impact,No change
